title,author,category,demand,action
Dune,Frank Herbert,Science Fiction,95,Acquire
Foundation,Isaac Asimov,Science Fiction,92,Acquire
Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,88,Hold
The Three-Body Problem,Cixin Liu,Science Fiction,85,Transfer
Clean Code,Robert C. Martin,Technology,78,Hold
The Very Hungry Caterpillar,Eric Carle,Children's Books,75,Acquire
A Short History of Nearly Everything,Bill Bryson,History,72,Hold
Neuromancer,William Gibson,Science Fiction,68,Deaccession
Designing Data-Intensive Applications,Martin Kleppmann,Technology,65,Transfer
Where the Wild Things Are,Maurice Sendak,Children's Books,62,Hold
The Hobbit,J.R.R. Tolkien,Fantasy,91,Acquire
Steve Jobs,Walter Isaacson,Biography,84,Hold
Guns, Germs, and Steel,Jared Diamond,History,79,Transfer
Project Hail Mary,Andy Weir,Science Fiction,96,Acquire
Atomic Habits,James Clear,Self-Help,89,Acquire
The Name of the Wind,Patrick Rothfuss,Fantasy,87,Hold
Goodnight Moon,Margaret Wise Brown,Children's Books,70,Deaccession
The Pragmatic Programmer,Andrew Hunt,Technology,76,Hold
Becoming,Michelle Obama,Biography,93,Acquire
A Game of Thrones,George R.R. Martin,Fantasy,90,Transfer
The Silent Patient,Alex Michaelides,Thriller,94,Acquire
Educated,Tara Westover,Memoir,91,Hold
Circe,Madeline Miller,Fantasy,88,Acquire
The Midnight Library,Matt Haig,Fantasy,86,Transfer
Klara and the Sun,Kazuo Ishiguro,Science Fiction,83,Hold
The Vanishing Half,Brit Bennett,Fiction,81,Acquire
Where the Crawdads Sing,Delia Owens,Fiction,97,Acquire
The Four Winds,Kristin Hannah,Historical Fiction,85,Hold
Anxious People,Fredrik Backman,Fiction,82,Transfer
The Guest List,Lucy Fokley,Thriller,89,Acquire
The Song of Achilles,Madeline Miller,Fantasy,90,Acquire
The 7 Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,92,Hold
To Kill a Mockingbird,Harper Lee,Classic,98,Acquire
1984,George Orwell,Classic,97,Acquire
Pride and Prejudice,Jane Austen,Classic,95,Hold
The Great Gatsby,F. Scott Fitzgerald,Classic,94,Transfer
Moby Dick,Herman Melville,Classic,75,Deaccession
War and Peace,Leo Tolstoy,Classic,78,Hold
The Catcher in the Rye,J.D. Salinger,Classic,88,Acquire
Brave New World,Aldous Huxley,Science Fiction,93,Acquire
Lord of the Flies,William Golding,Classic,89,Hold
Fahrenheit 451,Ray Bradbury,Science Fiction,94,Acquire
The Alchemist,Paulo Coelho,Fantasy,91,Acquire
The Road,Cormac McCarthy,Fiction,85,Hold
Life of Pi,Yann Martel,Fiction,87,Transfer
The Kite Runner,Khaled Hosseini,Fiction,90,Acquire
A Thousand Splendid Suns,Khaled Hosseini,Fiction,89,Hold
The Book Thief,Markus Zusak,Historical Fiction,92,Acquire
The Martian,Andy Weir,Science Fiction,95,Acquire
Ready Player One,Ernest Cline,Science Fiction,91,Hold
The Hunger Games,Suzanne Collins,YA Fiction,96,Acquire
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,99,Acquire
The Lord of the Rings,J.R.R. Tolkien,Fantasy,98,Acquire
The Chronicles of Narnia,C.S. Lewis,Fantasy,94,Hold
The Da Vinci Code,Dan Brown,Thriller,92,Transfer
Gone Girl,Gillian Flynn,Thriller,93,Acquire
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,91,Hold
The Help,Kathryn Stockett,Historical Fiction,90,Acquire
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,88,Hold
Thinking, Fast and Slow,Daniel Kahneman,Non-Fiction,86,Transfer
Freakonomics,Steven D. Levitt,Non-Fiction,84,Hold
Outliers,Malcolm Gladwell,Non-Fiction,87,Acquire
The Tipping Point,Malcolm Gladwell,Non-Fiction,85,Hold
David and Goliath,Malcolm Gladwell,Non-Fiction,83,Transfer
Quiet: The Power of Introverts,Susan Cain,Self-Help,89,Acquire
Daring Greatly,Brené Brown,Self-Help,88,Hold
The Power of Habit,Charles Duhigg,Self-Help,90,Acquire
Grit: The Power of Passion and Perseverance,Angela Duckworth,Self-Help,87,Hold
Mindset: The New Psychology of Success,Carol S. Dweck,Self-Help,86,Transfer
Man's Search for Meaning,Viktor E. Frankl,Memoir,91,Acquire
When Breath Becomes Air,Paul Kalanithi,Memoir,90,Hold
The Glass Castle,Jeannette Walls,Memoir,89,Acquire
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Memoir,87,Hold
Into the Wild,Jon Krakauer,Non-Fiction,88,Transfer
Into Thin Air,Jon Krakauer,Non-Fiction,89,Acquire
A Walk in the Woods,Bill Bryson,Travel,85,Hold
Eat, Pray, Love,Elizabeth Gilbert,Travel,83,Transfer
On the Road,Jack Kerouac,Classic,86,Acquire
The Sun Also Rises,Ernest Hemingway,Classic,84,Hold
For Whom the Bell Tolls,Ernest Hemingway,Classic,85,Transfer
The Old Man and the Sea,Ernest Hemingway,Classic,88,Acquire
East of Eden,John Steinbeck,Classic,90,Hold
The Grapes of Wrath,John Steinbeck,Classic,91,Acquire
Of Mice and Men,John Steinbeck,Classic,92,Hold
The Pearl,John Steinbeck,Classic,85,Transfer
The Stand,Stephen King,Horror,93,Acquire
It,Stephen King,Horror,94,Hold
The Shining,Stephen King,Horror,92,Acquire
Misery,Stephen King,Horror,90,Hold
Carrie,Stephen King,Horror,88,Transfer
Pet Sematary,Stephen King,Horror,89,Acquire
Salem's Lot,Stephen King,Horror,87,Hold
The Green Mile,Stephen King,Fiction,91,Acquire
The Dark Tower: The Gunslinger,Stephen King,Fantasy,86,Hold
Interview with the Vampire,Anne Rice,Horror,88,Transfer
Dracula,Bram Stoker,Classic,90,Acquire
Frankenstein,Mary Shelley,Classic,91,Hold
The Picture of Dorian Gray,Oscar Wilde,Classic,89,Acquire
A Tale of Two Cities,Charles Dickens,Classic,87,Hold
Great Expectations,Charles Dickens,Classic,86,Transfer
Oliver Twist,Charles Dickens,Classic,85,Acquire
David Copperfield,Charles Dickens,Classic,84,Hold
Bleak House,Charles Dickens,Classic,83,Deaccession
The Adventures of Tom Sawyer,Mark Twain,Classic,89,Acquire
Adventures of Huckleberry Finn,Mark Twain,Classic,90,Hold
A Connecticut Yankee in King Arthur's Court,Mark Twain,Fantasy,85,Transfer
The Prince and the Pauper,Mark Twain,Classic,84,Acquire
The Count of Monte Cristo,Alexandre Dumas,Classic,92,Hold
The Three Musketeers,Alexandre Dumas,Classic,91,Acquire
Les Misérables,Victor Hugo,Classic,90,Hold
The Hunchback of Notre-Dame,Victor Hugo,Classic,88,Transfer
Crime and Punishment,Fyodor Dostoevsky,Classic,89,Acquire
The Brothers Karamazov,Fyodor Dostoevsky,Classic,88,Hold
The Idiot,Fyodor Dostoevsky,Classic,86,Deaccession
Anna Karenina,Leo Tolstoy,Classic,87,Acquire
Don Quixote,Miguel de Cervantes,Classic,89,Hold
One Hundred Years of Solitude,Gabriel García Márquez,Fiction,91,Acquire
Love in the Time of Cholera,Gabriel García Márquez,Fiction,90,Hold
The House of the Spirits,Isabel Allende,Fiction,88,Transfer
The Handmaid's Tale,Margaret Atwood,Science Fiction,94,Acquire
Oryx and Crake,Margaret Atwood,Science Fiction,87,Hold
The Testaments,Margaret Atwood,Science Fiction,90,Acquire
Cat's Cradle,Kurt Vonnegut,Science Fiction,88,Hold
Slaughterhouse-Five,Kurt Vonnegut,Science Fiction,90,Transfer
Breakfast of Champions,Kurt Vonnegut,Fiction,86,Acquire
A Clockwork Orange,Anthony Burgess,Science Fiction,89,Hold
Dune Messiah,Frank Herbert,Science Fiction,85,Acquire
Children of Dune,Frank Herbert,Science Fiction,84,Hold
God Emperor of Dune,Frank Herbert,Science Fiction,83,Transfer
Hyperion,Dan Simmons,Science Fiction,91,Acquire
The Fall of Hyperion,Dan Simmons,Science Fiction,90,Hold
Endymion,Dan Simmons,Science Fiction,88,Deaccession
The Rise of Endymion,Dan Simmons,Science Fiction,87,Acquire
I, Robot,Isaac Asimov,Science Fiction,90,Hold
The Caves of Steel,Isaac Asimov,Science Fiction,88,Transfer
The Naked Sun,Isaac Asimov,Science Fiction,87,Acquire
The Robots of Dawn,Isaac Asimov,Science Fiction,86,Hold
Robots and Empire,Isaac Asimov,Science Fiction,85,Deaccession
Prelude to Foundation,Isaac Asimov,Science Fiction,89,Acquire
Forward the Foundation,Isaac Asimov,Science Fiction,88,Hold
Foundation and Empire,Isaac Asimov,Science Fiction,91,Transfer
Second Foundation,Isaac Asimov,Science Fiction,91,Acquire
Foundation's Edge,Isaac Asimov,Science Fiction,87,Hold
Foundation and Earth,Isaac Asimov,Science Fiction,86,Deaccession
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,95,Acquire
The Restaurant at the End of the Universe,Douglas Adams,Science Fiction,92,Hold
Life, the Universe and Everything,Douglas Adams,Science Fiction,91,Transfer
So Long, and Thanks for All the Fish,Douglas Adams,Science Fiction,90,Acquire
Mostly Harmless,Douglas Adams,Science Fiction,88,Hold
Ender's Game,Orson Scott Card,Science Fiction,94,Acquire
Speaker for the Dead,Orson Scott Card,Science Fiction,89,Hold
Xenocide,Orson Scott Card,Science Fiction,85,Transfer
Children of the Mind,Orson Scott Card,Science Fiction,84,Deaccession
Starship Troopers,Robert A. Heinlein,Science Fiction,88,Acquire
The Moon Is a Harsh Mistress,Robert A. Heinlein,Science Fiction,87,Hold
Stranger in a Strange Land,Robert A. Heinlein,Science Fiction,86,Transfer
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,90,Acquire
Ubik,Philip K. Dick,Science Fiction,87,Hold
A Scanner Darkly,Philip K. Dick,Science Fiction,88,Transfer
The Man in the High Castle,Philip K. Dick,Science Fiction,89,Acquire
VALIS,Philip K. Dick,Science Fiction,85,Deaccession
Snow Crash,Neal Stephenson,Science Fiction,91,Acquire
Cryptonomicon,Neal Stephenson,Fiction,89,Hold
The Diamond Age,Neal Stephenson,Science Fiction,88,Transfer
Anathem,Neal Stephenson,Science Fiction,87,Acquire
Seveneves,Neal Stephenson,Science Fiction,90,Hold
The Left Hand of Darkness,Ursula K. Le Guin,Science Fiction,90,Acquire
A Wizard of Earthsea,Ursula K. Le Guin,Fantasy,91,Hold
The Dispossessed,Ursula K. Le Guin,Science fiction,88,Transfer
The Lathe of Heaven,Ursula K. Le Guin,Science Fiction,87,Acquire
Always Coming Home,Ursula K. Le Guin,Science Fiction,85,Deaccession
The Forever War,Joe Haldeman,Science Fiction,89,Acquire
Gateway,Frederik Pohl,Science Fiction,87,Hold
Ringworld,Larry Niven,Science Fiction,88,Transfer
The Mote in God's Eye,Larry Niven,Science Fiction,86,Acquire
Rendezvous with Rama,Arthur C. Clarke,Science Fiction,90,Hold
Childhood's End,Arthur C. Clarke,Science Fiction,89,Transfer
2001: A Space Odyssey,Arthur C. Clarke,Science Fiction,91,Acquire
The City and the Stars,Arthur C. Clarke,Science Fiction,88,Hold
The Fountains of Paradise,Arthur C. Clarke,Science Fiction,86,Deaccession
The Martian Chronicles,Ray Bradbury,Science Fiction,90,Acquire
The Illustrated Man,Ray Bradbury,Science Fiction,89,Hold
Something Wicked This Way Comes,Ray Bradbury,Horror,88,Transfer
I Am Legend,Richard Matheson,Horror,89,Acquire
Hell House,Richard Matheson,Horror,87,Hold
A Stir of Echoes,Richard Matheson,Horror,86,Deaccession
The Haunting of Hill House,Shirley Jackson,Horror,91,Acquire
We Have Always Lived in the Castle,Shirley Jackson,Fiction,89,Hold
The Lottery and Other Stories,Shirley Jackson,Fiction,88,Transfer
Rosemary's Baby,Ira Levin,Horror,89,Acquire
The Stepford Wives,Ira Levin,Thriller,87,Hold
The Boys from Brazil,Ira Levin,Thriller,86,Deaccession
The Exorcist,William Peter Blatty,Horror,92,Acquire
Jaws,Peter Benchley,Thriller,90,Hold
The Silence of the Lambs,Thomas Harris,Thriller,93,Transfer
Red Dragon,Thomas Harris,Thriller,91,Acquire
Hannibal,Thomas Harris,Thriller,88,Hold
The Andromeda Strain,Michael Crichton,Science Fiction,90,Deaccession
Jurassic Park,Michael Crichton,Science Fiction,95,Acquire
The Lost World,Michael Crichton,Science Fiction,91,Hold
Sphere,Michael Crichton,Science Fiction,89,Transfer
Congo,Michael Crichton,Adventure,87,Acquire
Timeline,Michael Crichton,Science Fiction,88,Hold
Prey,Michael Crichton,Science Fiction,86,Deaccession
State of Fear,Michael Crichton,Thriller,85,Acquire
Next,Michael Crichton,Science Fiction,84,Hold
The Hunt for Red October,Tom Clancy,Thriller,91,Transfer
Patriot Games,Tom Clancy,Thriller,90,Acquire
Clear and Present Danger,Tom Clancy,Thriller,89,Hold
The Sum of All Fears,Tom Clancy,Thriller,88,Deaccession
Without Remorse,Tom Clancy,Thriller,87,Acquire
Debt of Honor,Tom Clancy,Thriller,86,Hold
Executive Orders,Tom Clancy,Thriller,85,Transfer
Rainbow Six,Tom Clancy,Thriller,89,Acquire
The Bear and the Dragon,Tom Clancy,Thriller,84,Hold
Red Rabbit,Tom Clancy,Thriller,83,Deaccession
The Firm,John Grisham,Thriller,92,Acquire
The Pelican Brief,John Grisham,Thriller,91,Hold
The Client,John Grisham,Thriller,90,Transfer
A Time to Kill,John Grisham,Thriller,89,Acquire
The Rainmaker,John Grisham,Thriller,88,Hold
The Runaway Jury,John Grisham,Thriller,87,Deaccession
The Street Lawyer,John Grisham,Thriller,86,Acquire
The Testament,John Grisham,Thriller,85,Hold
The Brethren,John Grisham,Thriller,84,Transfer
A Painted House,John Grisham,Fiction,83,Acquire
The Summons,John Grisham,Thriller,82,Hold
The King of Torts,John Grisham,Thriller,81,Deaccession
The Last Juror,John Grisham,Thriller,80,Acquire
The Broker,John Grisham,Thriller,79,Hold
The Appeal,John Grisham,Thriller,78,Deaccession
The Associate,John Grisham,Thriller,77,Acquire
The Confession,John Grisham,Thriller,76,Hold
The Litigators,John Grisham,Thriller,75,Transfer
Sycamore Row,John Grisham,Thriller,88,Acquire
Gray Mountain,John Grisham,Thriller,82,Hold
Rogue Lawyer,John Grisham,Thriller,84,Deaccession
The Whistler,John Grisham,Thriller,85,Acquire
The Rooster Bar,John Grisham,Thriller,86,Hold
The Reckoning,John Grisham,Historical Fiction,87,Transfer
The Guardians,John Grisham,Thriller,88,Acquire
A Time for Mercy,John Grisham,Thriller,89,Hold
The Judge's List,John Grisham,Thriller,90,Deaccession
The Boys' Club,Erica Katz,Fiction,78,Acquire
The Lincoln Highway,Amor Towles,Historical Fiction,92,Hold
A Gentleman in Moscow,Amor Towles,Historical Fiction,93,Transfer
Rules of Civility,Amor Towles,Historical Fiction,90,Acquire
Cloud Cuckoo Land,Anthony Doerr,Fantasy,89,Hold
All the Light We Cannot See,Anthony Doerr,Historical Fiction,94,Deaccession
About Grace,Anthony Doerr,Fiction,85,Acquire
The Shell Collector,Anthony Doerr,Fiction,84,Hold
Memory Wall,Anthony Doerr,Fiction,83,Transfer
The Goldfinch,Donna Tartt,Fiction,91,Acquire
The Secret History,Donna Tartt,Fiction,92,Hold
The Little Friend,Donna Tartt,Fiction,87,Deaccession
Little Fires Everywhere,Celeste Ng,Fiction,90,Acquire
Everything I Never Told You,Celeste Ng,Fiction,88,Hold
American Dirt,Jeanine Cummins,Fiction,89,Transfer
The Dutch House,Ann Patchett,Fiction,88,Acquire
Bel Canto,Ann Patchett,Fiction,87,Hold
Commonwealth,Ann Patchett,Fiction,86,Deaccession
The Patron Saint of Liars,Ann Patchett,Fiction,85,Acquire
Taft,Ann Patchett,Fiction,84,Hold
The Magician's Assistant,Ann Patchett,Fiction,83,Transfer
Run,Ann Patchett,Fiction,82,Acquire
State of Wonder,Ann Patchett,Fiction,86,Hold
This Is the Story of a Happy Marriage,Ann Patchett,Non-Fiction,85,Deaccession
Normal People,Sally Rooney,Fiction,91,Acquire
Conversations with Friends,Sally Rooney,Fiction,89,Hold
Beautiful World, Where Are You,Sally Rooney,Fiction,90,Transfer
My Year of Rest and Relaxation,Ottessa Moshfegh,Fiction,85,Acquire
Eileen,Ottessa Moshfegh,Fiction,84,Hold
Death in Her Hands,Ottessa Moshfegh,Fiction,83,Deaccession
Homesick for Another World,Ottessa Moshfegh,Fiction,82,Acquire
Fleishman Is in Trouble,Taffy Brodesser-Akner,Fiction,86,Hold
Leave the World Behind,Rumaan Alam,Thriller,87,Transfer
Such a Fun Age,Kiley Reid,Fiction,88,Acquire
Big Little Lies,Liane Moriarty,Fiction,91,Hold
The Husband's Secret,Liane Moriarty,Fiction,90,Transfer
What Alice Forgot,Liane Moriarty,Fiction,88,Acquire
Truly Madly Guilty,Liane Moriarty,Fiction,87,Hold
Nine Perfect Strangers,Liane Moriarty,Fiction,89,Deaccession
The Last Thing He Told Me,Laura Dave,Thriller,93,Acquire
The Plot,Jean Hanff Korelitz,Thriller,88,Hold
The Push,Ashley Audrain,Thriller,89,Transfer
The Maidens,Alex Michaelides,Thriller,90,Acquire
Rock Paper Scissors,Alice Feeney,Thriller,87,Hold
The Sanatorium,Sarah Pearse,Thriller,86,Deaccession
The Paris Apartment,Lucy Fokley,Thriller,88,Acquire
The Golden Couple,Greer Hendricks,Thriller,87,Hold
The Night She Disappeared,Lisa Jewell,Thriller,89,Transfer
Then She Was Gone,Lisa Jewell,Thriller,90,Acquire
The Family Upstairs,Lisa Jewell,Thriller,88,Hold
Invisible Girl,Lisa Jewell,Thriller,87,Deaccession
The Guest List,Lucy Fokley,Thriller,89,Acquire
The Hunting Party,Lucy Fokley,Thriller,88,Hold
The Woman in Cabin 10,Ruth Ware,Thriller,90,Transfer
In a Dark, Dark Wood,Ruth Ware,Thriller,89,Acquire
The Turn of the Key,Ruth Ware,Thriller,88,Hold
The Lying Game,Ruth Ware,Thriller,87,Deaccession
One by One,Ruth Ware,Thriller,86,Acquire
The It Girl,Ruth Ware,Thriller,91,Hold
A Flicker in the Dark,Stacy Willingham,Thriller,88,Transfer
All the Dangerous Things,Stacy Willingham,Thriller,89,Acquire
The Last House on Needless Street,Catriona Ward,Horror,87,Hold
The Whisper Man,Alex North,Thriller,89,Deaccession
The Shadows,Alex North,Thriller,88,Acquire
The Last Flight,Julie Clark,Thriller,90,Hold
The Lies I Tell,Julie Clark,Thriller,89,Transfer
The Henna Artist,Alka Joshi,Historical Fiction,88,Acquire
The Secret Keeper of Jaipur,Alka Joshi,Historical Fiction,87,Hold
The Perfumist of Paris,Alka Joshi,Historical Fiction,86,Deaccession
The Personal Librarian,Marie Benedict,Historical Fiction,89,Acquire
The Mystery of Mrs. Christie,Marie Benedict,Historical Fiction,88,Hold
The Other Einstein,Marie Benedict,Historical Fiction,87,Transfer
Carnegie's Maid,Marie Benedict,Historical Fiction,86,Acquire
The Only Woman in the Room,Marie Benedict,Historical Fiction,85,Hold
Lady Clementine,Marie Benedict,Historical Fiction,84,Deaccession
Her Hidden Genius,Marie Benedict,Historical Fiction,88,Acquire
The Rose Code,Kate Quinn,Historical Fiction,91,Hold
The Alice Network,Kate Quinn,Historical Fiction,92,Transfer
The Huntress,Kate Quinn,Historical Fiction,90,Acquire
The Diamond Eye,Kate Quinn,Historical Fiction,93,Hold
The Nightingale,Kristin Hannah,Historical Fiction,96,Deaccession
The Great Alone,Kristin Hannah,Historical Fiction,94,Acquire
Winter Garden,Kristin Hannah,Fiction,92,Hold
Firefly Lane,Kristin Hannah,Fiction,91,Transfer
The Four Winds,Kristin Hannah,Historical Fiction,93,Acquire
Magic Hour,Kristin Hannah,Fiction,89,Hold
Home Front,Kristin Hannah,Fiction,88,Deaccession
True Colors,Kristin Hannah,Fiction,87,Acquire
On Mystic Lake,Kristin Hannah,Fiction,86,Hold
Between Sisters,Kristin Hannah,Fiction,85,Transfer
The Things We Do for Love,Kristin Hannah,Fiction,84,Acquire
Comfort & Joy,Kristin Hannah,Fiction,83,Hold
The Last Song,Nicholas Sparks,Romance,90,Deaccession
The Notebook,Nicholas Sparks,Romance,94,Acquire
A Walk to Remember,Nicholas Sparks,Romance,93,Hold
Dear John,Nicholas Sparks,Romance,92,Transfer
The Lucky One,Nicholas Sparks,Romance,91,Acquire
Safe Haven,Nicholas Sparks,Romance,90,Hold
The Best of Me,Nicholas Sparks,Romance,89,Deaccession
The Longest Ride,Nicholas Sparks,Romance,88,Acquire
See Me,Nicholas Sparks,Romance,87,Hold
Two by Two,Nicholas Sparks,Romance,86,Transfer
Every Breath,Nicholas Sparks,Romance,85,Acquire
The Return,Nicholas Sparks,Romance,88,Hold
The Wish,Nicholas Sparks,Romance,89,Deaccession
Me Before You,Jojo Moyes,Romance,92,Acquire
After You,Jojo Moyes,Romance,88,Hold
Still Me,Jojo Moyes,Romance,87,Transfer
The Giver of Stars,Jojo Moyes,Historical Fiction,90,Acquire
The Last Letter from Your Lover,Jojo Moyes,Romance,89,Hold
One Plus One,Jojo Moyes,Romance,86,Deaccession
The Ship of Brides,Jojo Moyes,Historical Fiction,85,Acquire
The Girl You Left Behind,Jojo Moyes,Historical Fiction,88,Hold
Paris for One and Other Stories,Jojo Moyes,Romance,84,Transfer
Outlander,Diana Gabaldon,Fantasy,93,Acquire
Dragonfly in Amber,Diana Gabaldon,Fantasy,91,Hold
Voyager,Diana Gabaldon,Fantasy,90,Transfer
Drums of Autumn,Diana Gabaldon,Fantasy,89,Acquire
The Fiery Cross,Diana Gabaldon,Fantasy,88,Hold
A Breath of Snow and Ashes,Diana Gabaldon,Fantasy,87,Deaccession
An Echo in the Bone,Diana Gabaldon,Fantasy,86,Acquire
Written in My Own Heart's Blood,Diana Gabaldon,Fantasy,85,Hold
Go Tell the Bees That I Am Gone,Diana Gabaldon,Fantasy,89,Transfer
Red, White & Royal Blue,Casey McQuiston,Romance,92,Acquire
One Last Stop,Casey McQuiston,Romance,90,Hold
I Kissed Shara Wheeler,Casey McQuiston,YA Fiction,88,Transfer
