title,author,category,demand,action
The Love Hypothesis,Ali Hazelwood,Romance,94,Acquire
Love on the Brain,Ali Hazelwood,Romance,91,Hold
Love, Theoretically,Ali Hazelwood,Romance,92,Deaccession
It Happened One Summer,Tessa Bailey,Romance,90,Acquire
Hook, Line, and Sinker,Tessa Bailey,Romance,89,Hold
Fix Her Up,Tessa Bailey,Romance,87,Transfer
The Hating Game,Sally Thorne,Romance,91,Acquire
99 Percent Mine,Sally Thorne,Romance,88,Hold
Second First Impressions,Sally Thorne,Romance,87,Deaccession
The Unhoneymooners,Christina Lauren,Romance,92,Acquire
The Soulmate Equation,Christina Lauren,Romance,90,Hold
In a Holidaze,Christina Lauren,Romance,89,Transfer
The Honey-Don't List,Christina Lauren,Romance,87,Acquire
Twice in a Blue Moon,Christina Lauren,Romance,86,Hold
Josh and Hazel's Guide to Not Dating,Christina Lauren,Romance,88,Deaccession
My Favorite Half-Night Stand,Christina Lauren,Romance,85,Acquire
Roomies,Christina Lauren,Romance,84,Hold
Autoboyography,Christina Lauren,YA Fiction,87,Transfer
Love and Other Words,Christina Lauren,Romance,91,Acquire
Something Wilder,Christina Lauren,Romance,89,Hold
The True Love Experiment,Christina Lauren,Romance,90,Deaccession
The Spanish Love Deception,Elena Armas,Romance,93,Acquire
The American Roommate Experiment,Elena Armas,Romance,90,Hold
Beach Read,Emily Henry,Romance,94,Transfer
People We Meet on Vacation,Emily Henry,Romance,95,Acquire
Book Lovers,Emily Henry,Romance,96,Hold
Happy Place,Emily Henry,Romance,97,Deaccession
A Million Junes,Emily Henry,YA Fiction,88,Acquire
The Love That Split the World,Emily Henry,YA Fiction,87,Hold
When the Sky Fell on Splendor,Emily Henry,YA Fiction,86,Transfer
Hello Girls,Emily Henry,YA Fiction,85,Acquire
The Viscount Who Loved Me,Julia Quinn,Romance,90,Hold
The Duke and I,Julia Quinn,Romance,91,Deaccession
An Offer From a Gentleman,Julia Quinn,Romance,89,Acquire
Romancing Mister Bridgerton,Julia Quinn,Romance,92,Hold
To Sir Phillip, With Love,Julia Quinn,Romance,88,Transfer
When He Was Wicked,Julia Quinn,Romance,87,Acquire
It's in His Kiss,Julia Quinn,Romance,86,Hold
On the Way to the Wedding,Julia Quinn,Romance,85,Deaccession
The Lost Apothecary,Sarah Penner,Historical Fiction,89,Acquire
The London Séance Society,Sarah Penner,Historical Fiction,87,Hold
The Cartographers,Peng Shepherd,Fantasy,88,Transfer
The Book of M,Peng Shepherd,Science Fiction,86,Acquire
The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,92,Hold
The Angel's Game,Carlos Ruiz Zafón,Fiction,90,Deaccession
The Prisoner of Heaven,Carlos Ruiz Zafón,Fiction,89,Acquire
The Labyrinth of the Spirits,Carlos Ruiz Zafón,Fiction,91,Hold
The Priory of the Orange Tree,Samantha Shannon,Fantasy,93,Transfer
The Bone Season,Samantha Shannon,Fantasy,88,Acquire
The Mime Order,Samantha Shannon,Fantasy,87,Hold
The Song Rising,Samantha Shannon,Fantasy,86,Deaccession
A Day of Fallen Night,Samantha Shannon,Fantasy,94,Acquire
Ninth House,Leigh Bardugo,Fantasy,92,Hold
Hell Bent,Leigh Bardugo,Fantasy,93,Transfer
Six of Crows,Leigh Bardugo,Fantasy,95,Acquire
Crooked Kingdom,Leigh Bardugo,Fantasy,94,Hold
Shadow and Bone,Leigh Bardugo,Fantasy,93,Deaccession
Siege and Storm,Leigh Bardugo,Fantasy,91,Acquire
Ruin and Rising,Leigh Bardugo,Fantasy,90,Hold
King of Scars,Leigh Bardugo,Fantasy,92,Transfer
Rule of Wolves,Leigh Bardugo,Fantasy,91,Acquire
The Cruel Prince,Holly Black,Fantasy,94,Hold
The Wicked King,Holly Black,Fantasy,93,Deaccession
The Queen of Nothing,Holly Black,Fantasy,92,Acquire
The Folk of the Air,Holly Black,Fantasy,94,Hold
A Court of Thorns and Roses,Sarah J. Maas,Fantasy,96,Transfer
A Court of Mist and Fury,Sarah J. Maas,Fantasy,97,Acquire
A Court of Wings and Ruin,Sarah J. Maas,Fantasy,96,Hold
A Court of Frost and Starlight,Sarah J. Maas,Fantasy,94,Deaccession
A Court of Silver Flames,Sarah J. Maas,Fantasy,95,Acquire
Throne of Glass,Sarah J. Maas,Fantasy,94,Hold
Crown of Midnight,Sarah J. Maas,Fantasy,93,Transfer
Heir of Fire,Sarah J. Maas,Fantasy,92,Acquire
Queen of Shadows,Sarah J. Maas,Fantasy,91,Hold
Empire of Storms,Sarah J. Maas,Fantasy,90,Deaccession
Tower of Dawn,Sarah J. Maas,Fantasy,89,Acquire
Kingdom of Ash,Sarah J. Maas,Fantasy,95,Hold
House of Earth and Blood,Sarah J. Maas,Fantasy,96,Transfer
House of Sky and Breath,Sarah J. Maas,Fantasy,97,Acquire
From Blood and Ash,Jennifer L. Armentrout,Fantasy,93,Hold
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Fantasy,92,Deaccession
The Crown of Gilded Bones,Jennifer L. Armentrout,Fantasy,91,Acquire
The War of Two Queens,Jennifer L. Armentrout,Fantasy,90,Hold
A Soul of Ash and Blood,Jennifer L. Armentrout,Fantasy,89,Transfer
Fourth Wing,Rebecca Yarros,Fantasy,98,Acquire
Iron Flame,Rebecca Yarros,Fantasy,99,Hold
The Serpent & the Wings of Night,Carissa Broadbent,Fantasy,92,Deaccession
The Ashes & the Star-Cursed King,Carissa Broadbent,Fantasy,91,Acquire
The Atlas Six,Olivie Blake,Fantasy,90,Hold
The Atlas Paradox,Olivie Blake,Fantasy,89,Transfer
Babel,R.F. Kuang,Fantasy,94,Acquire
The Poppy War,R.F. Kuang,Fantasy,93,Hold
The Dragon Republic,R.F. Kuang,Fantasy,92,Deaccession
The Burning God,R.F. Kuang,Fantasy,91,Acquire
Yellowface,R.F. Kuang,Fiction,95,Hold
Jonathan Strange & Mr Norrell,Susanna Clarke,Fantasy,88,Transfer
Piranesi,Susanna Clarke,Fantasy,92,Acquire
Mexican Gothic,Silvia Moreno-Garcia,Horror,89,Hold
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Science Fiction,87,Deaccession
Gods of Jade and Shadow,Silvia Moreno-Garcia,Fantasy,88,Acquire
Velvet Was the Night,Silvia Moreno-Garcia,Thriller,86,Hold
Silver Nitrate,Silvia Moreno-Garcia,Horror,89,Transfer
Black Sun,Rebecca Roanhorse,Fantasy,90,Acquire
Fevered Star,Rebecca Roanhorse,Fantasy,89,Hold
Tread of Angels,Rebecca Roanhorse,Fantasy,87,Deaccession
The City We Became,N.K. Jemisin,Fantasy,92,Acquire
The World We Make,N.K. Jemisin,Fantasy,91,Hold
The Fifth Season,N.K. Jemisin,Fantasy,95,Transfer
The Obelisk Gate,N.K. Jemisin,Fantasy,94,Acquire
The Stone Sky,N.K. Jemisin,Fantasy,93,Hold
How Long 'til Black Future Month?,N.K. Jemisin,Science Fiction,90,Deaccession
The Hundred Thousand Kingdoms,N.K. Jemisin,Fantasy,91,Acquire
The Broken Kingdoms,N.K. Jemisin,Fantasy,90,Hold
The Kingdom of Gods,N.K. Jemisin,Fantasy,89,Transfer
The Inheritance Trilogy,N.K. Jemisin,Fantasy,92,Acquire
Children of Blood and Bone,Tomi Adeyemi,Fantasy,94,Hold
Children of Virtue and Vengeance,Tomi Adeyemi,Fantasy,93,Deaccession
Raybearer,Jordan Ifueko,Fantasy,90,Acquire
Redemptor,Jordan Ifueko,Fantasy,89,Hold
The Gilded Ones,Namina Forna,Fantasy,91,Transfer
The Merciless Ones,Namina Forna,Fantasy,90,Acquire
Legendborn,Tracy Deonn,Fantasy,93,Hold
Bloodmarked,Tracy Deonn,Fantasy,92,Deaccession
This Woven Kingdom,Tahereh Mafi,Fantasy,91,Acquire
These Infinite Threads,Tahereh Mafi,Fantasy,90,Hold
A Very Large Expanse of Sea,Tahereh Mafi,YA Fiction,88,Transfer
Shatter Me,Tahereh Mafi,YA Fiction,92,Acquire
Unravel Me,Tahereh Mafi,YA Fiction,91,Hold
Ignite Me,Tahereh Mafi,YA Fiction,93,Deaccession
Restore Me,Tahereh Mafi,YA Fiction,90,Acquire
Defy Me,Tahereh Mafi,YA Fiction,89,Hold
Imagine Me,Tahereh Mafi,YA Fiction,88,Transfer
The Ballad of Songbirds and Snakes,Suzanne Collins,YA Fiction,94,Acquire
The Inheritance Games,Jennifer Lynn Barnes,YA Fiction,93,Hold
The Hawthorne Legacy,Jennifer Lynn Barnes,YA Fiction,92,Deaccession
The Final Gambit,Jennifer Lynn Barnes,YA Fiction,91,Acquire
One of Us Is Lying,Karen M. McManus,YA Fiction,94,Hold
One of Us Is Next,Karen M. McManus,YA Fiction,92,Transfer
Two Can Keep a Secret,Karen M. McManus,YA Fiction,91,Acquire
The Cousins,Karen M. McManus,YA Fiction,90,Hold
You'll Be the Death of Me,Karen M. McManus,YA Fiction,89,Deaccession
A Good Girl's Guide to Murder,Holly Jackson,YA Fiction,95,Acquire
Good Girl, Bad Blood,Holly Jackson,YA Fiction,94,Hold
As Good as Dead,Holly Jackson,YA Fiction,93,Transfer
Five Survive,Holly Jackson,YA Fiction,92,Acquire
The Seven Year Slip,Ashley Poston,Romance,88,Hold
The Dead Romantics,Ashley Poston,Romance,89,Deaccession
Geekerella,Ashley Poston,YA Fiction,87,Acquire
The Princess and the Fangirl,Ashley Poston,YA Fiction,86,Hold
Bookish and the Beast,Ashley Poston,YA Fiction,85,Transfer
Red Queen,Victoria Aveyard,Fantasy,93,Acquire
Glass Sword,Victoria Aveyard,Fantasy,91,Hold
King's Cage,Victoria Aveyard,Fantasy,90,Deaccession
War Storm,Victoria Aveyard,Fantasy,89,Acquire
Realm Breaker,Victoria Aveyard,Fantasy,92,Hold
Blade Breaker,Victoria Aveyard,Fantasy,91,Transfer
An Ember in the Ashes,Sabaa Tahir,Fantasy,94,Acquire
A Torch Against the Night,Sabaa Tahir,Fantasy,93,Hold
A Reaper at the Gates,Sabaa Tahir,Fantasy,92,Deaccession
A Sky Beyond the Storm,Sabaa Tahir,Fantasy,91,Acquire
All My Rage,Sabaa Tahir,YA Fiction,90,Hold
The Wrath & the Dawn,Renée Ahdieh,Fantasy,92,Transfer
The Rose & the Dagger,Renée Ahdieh,Fantasy,91,Acquire
Flame in the Mist,Renée Ahdieh,Fantasy,90,Hold
Smoke in the Sun,Renée Ahdieh,Fantasy,89,Deaccession
The Beautiful,Renée Ahdieh,Fantasy,88,Acquire
The Damned,Renée Ahdieh,Fantasy,87,Hold
The Righteous,Renée Ahdieh,Fantasy,86,Transfer
Carve the Mark,Veronica Roth,Science Fiction,88,Acquire
The Fates Divide,Veronica Roth,Science Fiction,87,Hold
Divergent,Veronica Roth,Science Fiction,95,Deaccession
Insurgent,Veronica Roth,Science Fiction,94,Acquire
Allegiant,Veronica Roth,Science Fiction,92,Hold
Chosen Ones,Veronica Roth,Fantasy,89,Transfer
Poster Girl,Veronica Roth,Science Fiction,88,Acquire
The Maze Runner,James Dashner,Science Fiction,94,Hold
The Scorch Trials,James Dashner,Science Fiction,92,Deaccession
The Death Cure,James Dashner,Science Fiction,91,Acquire
The Kill Order,James Dashner,Science Fiction,89,Hold
The Fever Code,James Dashner,Science Fiction,88,Transfer
The 5th Wave,Rick Yancey,Science Fiction,91,Acquire
The Infinite Sea,Rick Yancey,Science Fiction,89,Hold
The Last Star,Rick Yancey,Science Fiction,88,Deaccession
I Am Number Four,Pittacus Lore,Science Fiction,90,Acquire
The Power of Six,Pittacus Lore,Science Fiction,88,Hold
The Rise of Nine,Pittacus Lore,Science Fiction,87,Transfer
The Fall of Five,Pittacus Lore,Science Fiction,86,Acquire
The Revenge of Seven,Pittacus Lore,Science Fiction,85,Hold
The Fate of Ten,Pittacus Lore,Science Fiction,84,Deaccession
United as One,Pittacus Lore,Science Fiction,83,Acquire
Uglies,Scott Westerfeld,Science Fiction,90,Hold
Pretties,Scott Westerfeld,Science Fiction,89,Transfer
Specials,Scott Westerfeld,Science Fiction,88,Acquire
Extras,Scott Westerfeld,Science Fiction,87,Hold
Leviathan,Scott Westerfeld,Science Fiction,89,Deaccession
Behemoth,Scott Westerfeld,Science Fiction,88,Acquire
Goliath,Scott Westerfeld,Science Fiction,87,Hold
The Mortal Instruments: City of Bones,Cassandra Clare,Fantasy,93,Transfer
City of Ashes,Cassandra Clare,Fantasy,92,Acquire
City of Glass,Cassandra Clare,Fantasy,91,Hold
City of Fallen Angels,Cassandra Clare,Fantasy,90,Deaccession
City of Lost Souls,Cassandra Clare,Fantasy,89,Acquire
City of Heavenly Fire,Cassandra Clare,Fantasy,92,Hold
Clockwork Angel,Cassandra Clare,Fantasy,93,Transfer
Clockwork Prince,Cassandra Clare,Fantasy,92,Acquire
Clockwork Princess,Cassandra Clare,Fantasy,94,Hold
Lady Midnight,Cassandra Clare,Fantasy,91,Deaccession
Lord of Shadows,Cassandra Clare,Fantasy,90,Acquire
Queen of Air and Darkness,Cassandra Clare,Fantasy,92,Hold
Chain of Gold,Cassandra Clare,Fantasy,93,Transfer
Chain of Iron,Cassandra Clare,Fantasy,92,Acquire
Chain of Thorns,Cassandra Clare,Fantasy,91,Hold
Sword Catcher,Cassandra Clare,Fantasy,94,Deaccession
The Magicians,Lev Grossman,Fantasy,89,Acquire
The Magician King,Lev Grossman,Fantasy,88,Hold
The Magician's Land,Lev Grossman,Fantasy,87,Transfer
American Gods,Neil Gaiman,Fantasy,93,Acquire
Neverwhere,Neil Gaiman,Fantasy,91,Hold
Stardust,Neil Gaiman,Fantasy,92,Deaccession
Coraline,Neil Gaiman,Fantasy,90,Acquire
The Graveyard Book,Neil Gaiman,Fantasy,91,Hold
Good Omens,Neil Gaiman & Terry Pratchett,Fantasy,94,Transfer
The Ocean at the End of the Lane,Neil Gaiman,Fantasy,92,Acquire
Norse Mythology,Neil Gaiman,Mythology,93,Hold
Anansi Boys,Neil Gaiman,Fantasy,90,Deaccession
The Sandman: Act I,Neil Gaiman,Graphic Novel,95,Acquire
The Sandman: Act II,Neil Gaiman,Graphic Novel,94,Hold
The Sandman: Act III,Neil Gaiman,Graphic Novel,93,Transfer
Watchmen,Alan Moore,Graphic Novel,96,Acquire
V for Vendetta,Alan Moore,Graphic Novel,95,Hold
The League of Extraordinary Gentlemen, Vol. 1,Alan Moore,Graphic Novel,92,Deaccession
From Hell,Alan Moore,Graphic Novel,91,Acquire
Saga, Vol. 1,Brian K. Vaughan,Graphic Novel,97,Hold
Paper Girls, Vol. 1,Brian K. Vaughan,Graphic Novel,94,Transfer
Y: The Last Man, Vol. 1,Brian K. Vaughan,Graphic Novel,95,Acquire
Persepolis: The Story of a Childhood,Marjane Satrapi,Graphic Novel,93,Hold
Maus I: A Survivor's Tale,Art Spiegelman,Graphic Novel,96,Deaccession
Fun Home: A Family Tragicomic,Alison Bechdel,Graphic Novel,92,Acquire
Blankets,Craig Thompson,Graphic Novel,91,Hold
Ghost World,Daniel Clowes,Graphic Novel,90,Transfer
Jimmy Corrigan, the Smartest Kid on Earth,Chris Ware,Graphic Novel,88,Acquire
Building Stories,Chris Ware,Graphic Novel,87,Hold
Asterios Polyp,David Mazzucchelli,Graphic Novel,89,Deaccession
Black Hole,Charles Burns,Graphic Novel,88,Acquire
My Favorite Thing Is Monsters,Emil Ferris,Graphic Novel,91,Hold
This One Summer,Mariko Tamaki,Graphic Novel,90,Transfer
The Arrival,Shaun Tan,Graphic Novel,94,Acquire
Here,Richard McGuire,Graphic Novel,92,Hold
Pashmina,Nidhi Chanani,Graphic Novel,89,Deaccession
The Best We Could Do,Thi Bui,Graphic Novel,91,Acquire
They Called Us Enemy,George Takei,Graphic Novel,93,Hold
March: Book One,John Lewis,Graphic Novel,95,Transfer
The Complete Persepolis,Marjane Satrapi,Graphic Novel,94,Acquire
The Color of Magic,Terry Pratchett,Fantasy,90,Hold
The Light Fantastic,Terry Pratchett,Fantasy,89,Deaccession
Equal Rites,Terry Pratchett,Fantasy,88,Acquire
Mort,Terry Pratchett,Fantasy,91,Hold
Sourcery,Terry Pratchett,Fantasy,87,Transfer
Wyrd Sisters,Terry Pratchett,Fantasy,89,Acquire
Pyramids,Terry Pratchett,Fantasy,86,Hold
Guards! Guards!,Terry Pratchett,Fantasy,92,Deaccession
Eric,Terry Pratchett,Fantasy,85,Acquire
Moving Pictures,Terry Pratchett,Fantasy,87,Hold
Reaper Man,Terry Pratchett,Fantasy,90,Transfer
Witches Abroad,Terry Pratchett,Fantasy,88,Acquire
Small Gods,Terry Pratchett,Fantasy,91,Hold
Lords and Ladies,Terry Pratchett,Fantasy,87,Deaccession
Men at Arms,Terry Pratchett,Fantasy,92,Acquire
Soul Music,Terry Pratchett,Fantasy,89,Hold
Interesting Times,Terry Pratchett,Fantasy,88,Transfer
Maskerade,Terry Pratchett,Fantasy,87,Acquire
Feet of Clay,Terry Pratchett,Fantasy,91,Hold
Hogfather,Terry Pratchett,Fantasy,90,Deaccession
Jingo,Terry Pratchett,Fantasy,88,Acquire
The Last Continent,Terry Pratchett,Fantasy,87,Hold
Carpe Jugulum,Terry Pratchett,Fantasy,89,Transfer
The Fifth Elephant,Terry Pratchett,Fantasy,91,Acquire
The Truth,Terry Pratchett,Fantasy,90,Hold
Thief of Time,Terry Pratchett,Fantasy,92,Deaccession
The Last Hero,Terry Pratchett,Fantasy,89,Acquire
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Fantasy,88,Hold
Night Watch,Terry Pratchett,Fantasy,94,Transfer
The Wee Free Men,Terry Pratchett,Fantasy,91,Acquire
Monstrous Regiment,Terry Pratchett,Fantasy,90,Hold
A Hat Full of Sky,Terry Pratchett,Fantasy,90,Deaccession
Going Postal,Terry Pratchett,Fantasy,93,Acquire
Thud!,Terry Pratchett,Fantasy,92,Hold
Wintersmith,Terry Pratchett,Fantasy,91,Transfer
Making Money,Terry Pratchett,Fantasy,92,Acquire
Unseen Academicals,Terry Pratchett,Fantasy,90,Hold
I Shall Wear Midnight,Terry Pratchett,Fantasy,91,Deaccession
Snuff,Terry Pratchett,Fantasy,92,Acquire
Raising Steam,Terry Pratchett,Fantasy,90,Hold
The Shepherd's Crown,Terry Pratchett,Fantasy,93,Transfer
Eragon,Christopher Paolini,Fantasy,92,Acquire
Eldest,Christopher Paolini,Fantasy,91,Hold
Brisingr,Christopher Paolini,Fantasy,90,Deaccession
Inheritance,Christopher Paolini,Fantasy,89,Acquire
Murtagh,Christopher Paolini,Fantasy,93,Hold
The Golden Compass,Philip Pullman,Fantasy,94,Transfer
The Subtle Knife,Philip Pullman,Fantasy,93,Acquire
The Amber Spyglass,Philip Pullman,Fantasy,92,Hold
La Belle Sauvage,Philip Pullman,Fantasy,91,Deaccession
The Secret Commonwealth,Philip Pullman,Fantasy,90,Acquire
The Lies of Locke Lamora,Scott Lynch,Fantasy,93,Hold
Red Seas Under Red Skies,Scott Lynch,Fantasy,92,Transfer
The Republic of Thieves,Scott Lynch,Fantasy,91,Acquire
The Blade Itself,Joe Abercrombie,Fantasy,94,Hold
Before They Are Hanged,Joe Abercrombie,Fantasy,93,Deaccession
Last Argument of Kings,Joe Abercrombie,Fantasy,92,Acquire
Best Served Cold,Joe Abercrombie,Fantasy,91,Hold
The Heroes,Joe Abercrombie,Fantasy,90,Transfer
Red Country,Joe Abercrombie,Fantasy,89,Acquire
A Little Hatred,Joe Abercrombie,Fantasy,93,Hold
The Trouble With Peace,Joe Abercrombie,Fantasy,92,Deaccession
The Wisdom of Crowds,Joe Abercrombie,Fantasy,91,Acquire
Gardens of the Moon,Steven Erikson,Fantasy,88,Hold
Deadhouse Gates,Steven Erikson,Fantasy,87,Transfer
Memories of Ice,Steven Erikson,Fantasy,89,Acquire
House of Chains,Steven Erikson,Fantasy,86,Hold
Midnight Tides,Steven Erikson,Fantasy,87,Deaccession
The Bonehunters,Steven Erikson,Fantasy,85,Acquire
Reaper's Gale,Steven Erikson,Fantasy,86,Hold
Toll the Hounds,Steven Erikson,Fantasy,84,Transfer
Dust of Dreams,Steven Erikson,Fantasy,83,Acquire
The Crippled God,Steven Erikson,Fantasy,85,Hold
Assassin's Apprentice,Robin Hobb,Fantasy,94,Deaccession
Royal Assassin,Robin Hobb,Fantasy,93,Acquire
Assassin's Quest,Robin Hobb,Fantasy,92,Hold
Ship of Magic,Robin Hobb,Fantasy,91,Transfer
The Mad Ship,Robin Hobb,Fantasy,90,Acquire
Ship of Destiny,Robin Hobb,Fantasy,89,Hold
Fool's Errand,Robin Hobb,Fantasy,93,Deaccession
The Golden Fool,Robin Hobb,Fantasy,92,Acquire
Fool's Fate,Robin Hobb,Fantasy,91,Hold
Dragon Keeper,Robin Hobb,Fantasy,88,Transfer
Dragon Haven,Robin Hobb,Fantasy,87,Acquire
City of Dragons,Robin Hobb,Fantasy,86,Hold
Blood of Dragons,Robin Hobb,Fantasy,85,Deaccession
Fool's Assassin,Robin Hobb,Fantasy,92,Acquire
Fool's Quest,Robin Hobb,Fantasy,91,Hold
Assassin's Fate,Robin Hobb,Fantasy,93,Transfer
The Way of Kings,Brandon Sanderson,Fantasy,98,Acquire
Words of Radiance,Brandon Sanderson,Fantasy,97,Hold
Oathbringer,Brandon Sanderson,Fantasy,96,Deaccession
Rhythm of War,Brandon Sanderson,Fantasy,95,Acquire
Mistborn: The Final Empire,Brandon Sanderson,Fantasy,96,Hold
The Well of Ascension,Brandon Sanderson,Fantasy,95,Transfer
The Hero of Ages,Brandon Sanderson,Fantasy,94,Acquire
The Alloy of Law,Brandon Sanderson,Fantasy,93,Hold
Shadows of Self,Brandon Sanderson,Fantasy,92,Deaccession
The Bands of Mourning,Brandon Sanderson,Fantasy,91,Acquire
The Lost Metal,Brandon Sanderson,Fantasy,94,Hold
Warbreaker,Brandon Sanderson,Fantasy,93,Transfer
Elantris,Brandon Sanderson,Fantasy,92,Acquire
Tress of the Emerald Sea,Brandon Sanderson,Fantasy,97,Hold
Yumi and the Nightmare Painter,Brandon Sanderson,Fantasy,96,Deaccession
The Sunlit Man,Brandon Sanderson,Fantasy,95,Acquire
The Eye of the World,Robert Jordan,Fantasy,95,Hold
The Great Hunt,Robert Jordan,Fantasy,94,Transfer
The Dragon Reborn,Robert Jordan,Fantasy,93,Acquire
The Shadow Rising,Robert Jordan,Fantasy,92,Hold
The Fires of Heaven,Robert Jordan,Fantasy,91,Deaccession
Lord of Chaos,Robert Jordan,Fantasy,90,Acquire
A Crown of Swords,Robert Jordan,Fantasy,89,Hold
The Path of Daggers,Robert Jordan,Fantasy,88,Transfer
Winter's Heart,Robert Jordan,Fantasy,87,Acquire
Crossroads of Twilight,Robert Jordan,Fantasy,86,Hold
Knife of Dreams,Robert Jordan,Fantasy,88,Deaccession
The Gathering Storm,Robert Jordan & Brandon Sanderson,Fantasy,92,Acquire
Towers of Midnight,Robert Jordan & Brandon Sanderson,Fantasy,93,Hold
A Memory of Light,Robert Jordan & Brandon Sanderson,Fantasy,95,Transfer
New Spring,Robert Jordan,Fantasy,89,Acquire
The Black Prism,Brent Weeks,Fantasy,93,Hold
The Blinding Knife,Brent Weeks,Fantasy,92,Deaccession
The Broken Eye,Brent Weeks,Fantasy,91,Acquire
The Blood Mirror,Brent Weeks,Fantasy,90,Hold
The Burning White,Brent Weeks,Fantasy,92,Transfer
The Way of Shadows,Brent Weeks,Fantasy,94,Acquire
Shadow's Edge,Brent Weeks,Fanta